race_year,driver_name,driver_nationality,team,total_points,wins,rank
2020,Lewis Hamilton,British,Mercedes,347.0,11,1
2020,Valtteri Bottas,Finnish,Mercedes,223.0,2,2
2020,Max Verstappen,Dutch,Red Bull,214.0,2,3
2020,Sergio Pérez,Mexican,Racing Point,125.0,1,4
2020,Daniel Ricciardo,Australian,Renault,119.0,0,5
2020,Carlos Sainz,Spanish,McLaren,105.0,0,6
2020,Alexander Albon,Thai,Red Bull,105.0,0,6
2020,Charles Leclerc,Monegasque,Ferrari,98.0,0,8
2020,Lando Norris,British,McLaren,97.0,0,9
2020,Pierre Gasly,French,AlphaTauri,75.0,1,10
2020,Lance Stroll,Canadian,Racing Point,75.0,0,11
2020,Esteban Ocon,French,Renault,62.0,0,12
2020,Sebastian Vettel,German,Ferrari,33.0,0,13
2020,Daniil Kvyat,Russian,AlphaTauri,32.0,0,14
2020,Nico Hülkenberg,German,Racing Point,10.0,0,15
2020,Antonio Giovinazzi,Italian,Alfa Romeo,4.0,0,16
2020,Kimi Räikkönen,Finnish,Alfa Romeo,4.0,0,16
2020,George Russell,British,Mercedes,3.0,0,18
2020,Romain Grosjean,French,Haas F1 Team,2.0,0,19
2020,Kevin Magnussen,Danish,Haas F1 Team,1.0,0,20
2020,Nicholas Latifi,Canadian,Williams,0.0,0,21
2020,Jack Aitken,British,Williams,0.0,0,21
2020,Pietro Fittipaldi,Brazilian,Haas F1 Team,0.0,0,21
2020,George Russell,British,Williams,0.0,0,21
